SubID,group,condition,Range,Area,Offset,Exponent,R2,Error of fit
oa15,OA,ec,2-25 Hz,Parietal,0.5332,0.7415,0.9496,0.0427
oa16,OA,ec,2-25 Hz,Parietal,0.2154,0.4002,0.8081,0.1355
oa17,OA,ec,2-25 Hz,Parietal,0.127,-0.0228,0.8372,0.1264
oa18,OA,ec,2-25 Hz,Parietal,1.0831,0.9757,0.9768,0.0623
oa20,OA,ec,2-25 Hz,Parietal,0.9044,0.9474,0.9526,0.093
oa21,OA,ec,2-25 Hz,Parietal,0.3672,0.3672,0.871,0.0915
oa23,OA,ec,2-25 Hz,Parietal,0.2677,0.9931,0.9504,0.0436
oa24,OA,ec,2-25 Hz,Parietal,0.6879,0.722,0.9365,0.0683
oa25,OA,ec,2-25 Hz,Parietal,0.0483,0.6046,0.7816,0.0602
ya01,YA,ec,2-25 Hz,Parietal,1.297,1.4233,0.9845,0.0431
ya02,YA,ec,2-25 Hz,Parietal,0.6633,0.7431,0.7952,0.0618
ya03,YA,ec,2-25 Hz,Parietal,0.686,0.9196,0.9782,0.052
ya04,YA,ec,2-25 Hz,Parietal,1.3321,1.2881,0.9649,0.0815
ya05,YA,ec,2-25 Hz,Parietal,1.0164,0.9552,0.9851,0.0329
ya06,YA,ec,2-25 Hz,Parietal,0.9968,1.0674,0.958,0.0661
ya07,YA,ec,2-25 Hz,Parietal,1.2658,1.0981,0.9379,0.1055
ya08,YA,ec,2-25 Hz,Parietal,1.2314,1.0756,0.9248,0.1205
ya09,YA,ec,2-25 Hz,Parietal,0.8956,0.76,0.8181,0.0773
ya10,YA,ec,2-25 Hz,Parietal,1.473,1.4534,0.9863,0.0544
ya11,YA,ec,2-25 Hz,Parietal,0.9561,0.8752,0.9672,0.066
ya12,YA,ec,2-25 Hz,Parietal,2.0288,1.6448,0.9613,0.1124
ya13,YA,ec,2-25 Hz,Parietal,1.7512,1.6806,0.9748,0.0759
ya14,YA,ec,2-25 Hz,Parietal,1.2771,1.1683,0.9741,0.0608
ya15,YA,ec,2-25 Hz,Parietal,1.0702,1.129,0.9568,0.0781
ya16,YA,ec,2-25 Hz,Parietal,1.0102,0.9564,0.9614,0.067
ya17,YA,ec,2-25 Hz,Parietal,1.1658,1.0708,0.9666,0.057
ya18,YA,ec,2-25 Hz,Parietal,0.7483,0.8446,0.9323,0.0867
ya19,YA,ec,2-25 Hz,Parietal,0.5381,0.7124,0.9741,0.0325
ya21,YA,ec,2-25 Hz,Parietal,0.8505,0.8368,0.9671,0.065
ya22,YA,ec,2-25 Hz,Parietal,1.3914,1.125,0.9835,0.0423
oa01,OA,ec,2-25 Hz,Occipital,0.9389,1.1002,0.9535,0.0442
oa02,OA,ec,2-25 Hz,Occipital,1.1812,1.2918,0.9918,0.0257
oa03,OA,ec,2-25 Hz,Occipital,1.69,1.5282,0.7332,0.227
oa04,OA,ec,2-25 Hz,Occipital,1.0202,1.0306,0.9761,0.0512
oa05,OA,ec,2-25 Hz,Occipital,0.2789,0.6005,0.7651,0.0625
oa06,OA,ec,2-25 Hz,Occipital,1.5061,1.4298,0.983,0.0449
oa07,OA,ec,2-25 Hz,Occipital,0.4539,0.941,0.9419,0.0532
oa08,OA,ec,2-25 Hz,Occipital,0.3233,0.8806,0.9378,0.087
oa09,OA,ec,2-25 Hz,Occipital,0.5062,0.7323,0.9473,0.0661
oa10,OA,ec,2-25 Hz,Occipital,0.5886,0.8905,0.9402,0.0882
oa11,OA,ec,2-25 Hz,Occipital,0.1019,0.7771,0.9412,0.0639
oa12,OA,ec,2-25 Hz,Occipital,0.3596,0.7499,0.9816,0.0497
oa13,OA,ec,2-25 Hz,Occipital,0.9721,0.5113,0.9671,0.0412
oa14,OA,ec,2-25 Hz,Occipital,0.1295,0.3736,0.9013,0.0444
oa15,OA,ec,2-25 Hz,Occipital,0.6598,0.9358,0.9612,0.0492
oa16,OA,ec,2-25 Hz,Occipital,0.3653,0.5519,0.908,0.1064
oa17,OA,ec,2-25 Hz,Occipital,0.4637,0.2182,0.9336,0.0987
oa18,OA,ec,2-25 Hz,Occipital,1.0117,0.8656,0.9785,0.0608
oa20,OA,ec,2-25 Hz,Occipital,0.9867,1.0363,0.9644,0.0793
oa21,OA,ec,2-25 Hz,Occipital,0.5433,0.4701,0.8876,0.0873
oa23,OA,ec,2-25 Hz,Occipital,0.3546,1.0993,0.9635,0.0389
oa24,OA,ec,2-25 Hz,Occipital,0.7935,0.7777,0.9383,0.0749
oa25,OA,ec,2-25 Hz,Occipital,-0.2783,0.5142,0.575,0.0819
ya01,YA,ec,2-25 Hz,Occipital,1.1291,1.1938,0.9592,0.0595
ya02,YA,ec,2-25 Hz,Occipital,0.5054,0.6121,0.7241,0.0723
ya03,YA,ec,2-25 Hz,Occipital,0.5605,0.7669,0.9875,0.0411
